chain,chain_id,contract_address,block_number,block_timestamp,raw_total_supply,normalized_total_supply,decimals,method,evidence_source_id
ethereum,1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,23999999,2025-12-13T00:05:59Z,52593428966802640,52593428966.802640,6,totalSupply,article_ui_demo:contract_call:ethereum:totalSupply
ethereum,1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,24000100,2025-12-13T00:26:11Z,52596774795447175,52596774795.447175,6,totalSupply,article_ui_demo:contract_call:ethereum:totalSupply
